2025/08/19 00:01:41,EFEMScheduler,Transport,Setup Hnadoff Unit=3 Slot=1
2025/08/19 00:01:41,EFEMScheduler,Transport,SetTransCompleteCheckInfo
2025/08/19 00:01:41,EFEMScheduler,Transport,Cmd=1: UnitNo=3: Slot=1:1:2617
2025/08/19 00:01:41,EFEM Robot,Send Command,GET,03,01,1,0
2025/08/19 00:01:48,EFEMScheduler,Plus Step,SlotNo:42 Step:5
2025/08/19 00:01:48,EFEMScheduler,Plus Step,RESULT ROUTE:,142GB,342PB, 342GA
2025/08/19 00:01:48,EFEMScheduler,Transport,TransComplete Unit:3 Slot:2617
2025/08/19 00:01:48,EFEMScheduler,Transport,EXC-SET
2025/08/19 00:01:48,EFEMScheduler,Transport,Setup Hnadoff Unit=6 Slot=17
2025/08/19 00:01:48,EFEMScheduler,Transport,SetTransCompleteCheckInfo
2025/08/19 00:01:48,EFEMScheduler,Transport,Cmd=2: UnitNo=6: Slot=17:1:2617
2025/08/19 00:01:48,EFEM Robot,Send Command,PUT,06,01,1,0
2025/08/19 00:01:48,EFEMScheduler,Sim Interface,Running
2025/08/19 00:01:48,EFEMScheduler,Sim Interface,Check Point 1 Delete Folder C:\D2216\SmartVirtualTrimmer1.07\AppData\BeamData Data Count = 1
2025/08/19 00:01:48,EFEMScheduler,Sim Interface,Check Point 2 File Copy Source = C:\BeamData\0818 BeamProfile.csv  Target = C:\D2216\SmartVirtualTrimmer1.07\AppData\BeamData\0818 BeamProfile.csv
2025/08/19 00:01:48,EFEMScheduler,Sim Interface,Check Point 3 Make Dir = C:\Measure\Bak\LotID_095055\2617_0819000148
2025/08/19 00:01:48,EFEMScheduler,Sim Interface,Check Point 4 File Copy Source = C:\BeamData\0818 BeamProfile.csv  Target Folder = C:\Measure\Bak\LotID_095055\2617_0819000148\0818 BeamProfile
2025/08/19 00:01:48,EFEMScheduler,Sim Interface,Delete file ResultC:\D2216\SmartVirtualTrimmer1.07\AppData\Results\20250818T235347.csv
2025/08/19 00:01:48,EFEMScheduler,Sim Interface,Delete file Wafer:C:\D2216\SmartVirtualTrimmer1.07\AppData\WaferData\1407.csv
2025/08/19 00:01:49,EFEMScheduler,Sim Interface,File Copy Wafer:C:\D2216\ThicknessInfo\1417.csv > C:\D2216\SmartVirtualTrimmer1.07\AppData\WaferData\1417.csv
2025/08/19 00:01:49,EFEMScheduler,Sim Interface,File Copy Bak:C:\D2216\ThicknessInfo\1417.csv > C:\Measure\Bak\LotID_095055\2617_0819000148\1417.csv
2025/08/19 00:01:49,EFEMScheduler,Sim Interface,Delete file4:C:\D2216\SmartVirtualTrimmer1.07\AppData\GenRecipe\Recipe_auto_46-2607.csv
2025/08/19 00:01:49,EFEMScheduler,Sim Interface,Simulation START.txt Sim 2617
2025/08/19 00:01:54,EFEMScheduler,Sim Interface,File Copy Bak nResult:C:\D2216\SmartVirtualTrimmer1.07\AppData\Results\20250819T000153.csv > C:\Measure\Bak\LotID_095055\2617_0819000148\nResult.csv
2025/08/19 00:01:54,EFEMScheduler,Sim Interface,Scan Count Mode: ManualMode
2025/08/19 00:01:54,EFEMScheduler,Sim Interface,Scan Count : 1
2025/08/19 00:01:54,EFEMScheduler,Sim Interface,Process Complete1 Sim
2025/08/19 00:02:03,EFEMScheduler,Plus Step,SlotNo:42 Step:6
2025/08/19 00:02:03,EFEMScheduler,Plus Step,RESULT ROUTE:,142GB,342PB,342GA, 642PA
2025/08/19 00:02:03,EFEMScheduler,Transport,TransComplete Unit:6 Slot:2617
2025/08/19 00:02:03,EFEMScheduler,Transport,Setup Hnadoff Unit=5 Slot=1
2025/08/19 00:02:04,EFEMScheduler,Transport,SetTransCompleteCheckInfo
